Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Rural population (% of total population),SP.RUR.TOTL.ZS,Afghanistan,AFG,78.823,77.922,76.472,76.263,76.052,75.84,75.627,75.413,75.197,74.98,74.75,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Albania,ALB,63.572,58.259,48.924,47.837,46.753,45.67,44.613,43.577,42.566,41.579,40.617,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Algeria,DZA,47.915,40.081,33.174,32.46,31.764,31.085,30.424,29.779,29.152,28.541,27.948,..
Rural population (% of total population),SP.RUR.TOTL.ZS,American Samoa,ASM,19.052,11.413,12.303,12.406,12.498,12.58,12.652,12.712,12.762,12.802,12.83,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Andorra,AND,5.288,7.605,11.088,11.181,11.274,11.369,11.463,11.559,11.655,11.752,11.85,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Angola,AGO,62.856,49.913,40.966,40.217,39.472,38.732,37.998,37.269,36.554,35.851,35.161,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Antigua and Barbuda,ATG,64.574,67.873,73.182,73.762,74.297,74.474,74.65,74.825,75,75.154,75.287,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Argentina,ARG,13.016,10.858,9.309,9.151,9.01000000000001,8.879,8.751,8.623,8.497,8.373,8.251,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Armenia,ARM,32.579,35.334,36.46,36.56,36.66,36.76,36.836,36.888,36.915,36.918,36.897,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Aruba,ABW,49.681,53.283,56.579,56.941,57.06,57.043,57.01,56.959,56.892,56.808,56.707,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Australia,AUS,14.567,15.765,14.937,14.818,14.7,14.598,14.498,14.398,14.299,14.2,14.096,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Austria,AUT,37.04,39.787,42.317,42.601,42.885,42.853,42.664,42.474,42.285,42.095,41.906,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Azerbaijan,AZE,46.251,48.614,46.81,46.594,46.363,46.117,45.855,45.578,45.286,44.979,44.657,..
Rural population (% of total population),SP.RUR.TOTL.ZS,"Bahamas, The",BHS,20.162,17.993,17.615,17.573,17.524,17.468,17.404,17.332,17.254,17.168,17.075,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Bahrain,BHR,11.86,11.628,11.421,11.366,11.305,11.238,11.165,11.085,11.001,10.91,10.814,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Bangladesh,BGD,80.189,76.41,70.291,69.538,68.775,68.007,67.238,66.465,65.692,64.917,64.142,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Barbados,BRB,62.63,66.173,67.937,68.13,68.3,68.447,68.571,68.672,68.751,68.807,68.841,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Belarus,BLR,34.019,30.027,25.828,25.328,24.812,24.303,23.801,23.307,22.819,22.339,21.866,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Belgium,BEL,3.623,2.871,2.39700000000001,2.349,2.30200000000001,2.256,2.211,2.167,2.124,2.081,2.039,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Belize,BLZ,52.535,54.602,54.755,54.772,54.772,54.754,54.718,54.665,54.594,54.505,54.399,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Benin,BEN,65.515,61.667,57.42,56.907,56.392,55.875,55.358,54.834,54.305,53.771,53.232,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Bhutan,BTN,83.612,74.582,65.99,65.207,64.415,63.629,62.851,62.082,61.322,60.572,59.833,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Bolivia,BOL,44.423,38.213,34.016,33.57,33.126,32.685,32.301,31.953,31.607,31.262,30.92,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Bosnia and Herzegovina,BIH,60.751,57.616,54.761,54.442,54.122,53.801,53.481,53.16,52.827,52.482,52.124,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Botswana,BWA,58.067,46.781,39.063,37.588,36.135,35.232,34.428,33.632,32.845,32.067,31.3,..
Rural population (% of total population),SP.RUR.TOTL.ZS,Brazil,BRA,26.078,18.808,15.956,15.665,15.369,15.077,14.791,14.508,14.23,13.958,13.691,..
