Country,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017,Average Happiness Score,Ranking
Switzerland,7.587000000000001,7.5089999999999995,7.49399995803833,7.529999986012776,1
Denmark,7.527,7.526,7.52199983596802,7.524999945322674,2
Iceland,7.561,7.501,7.50400018692017,7.522000062306724,3
Norway,7.522,7.497999999999999,7.537000179290769,7.519000059763589,4
Finland,7.406000000000001,7.412999999999999,7.468999862670901,7.429333287556967,5
Canada,7.4270000000000005,7.404,7.31599998474121,7.3823333282470704,6
Netherlands,7.377999999999999,7.3389999999999995,7.3769998550415,7.364666618347166,7
Sweden,7.364,7.291,7.28399991989136,7.312999973297121,8
New Zealand,7.2860000000000005,7.334,7.31400012969971,7.31133337656657,9
Australia,7.284,7.313,7.28399991989136,7.293666639963786,10
Israel,7.278,7.267,7.212999820709231,7.252666606903077,11
Costa Rica,7.226,7.087000000000001,7.0789999961853,7.1306666653951005,12
Austria,7.2,7.119,7.00600004196167,7.108333347320556,13
United States,7.119,7.104,6.993000030517581,7.072000010172527,14
Ireland,6.94,6.907,6.9770002365112305,6.941333412170411,15
Belgium,6.937,6.928999999999999,6.89099979400635,6.91899993133545,16
Germany,6.75,6.994,6.9510002136230495,6.898333404541017,17
Luxembourg,6.946000000000001,6.871,6.86299991607666,6.893333305358887,18
Brazil,6.983,6.952000000000001,6.6350002288818395,6.856666742960613,19
Mexico,7.187,6.778,6.57800006866455,6.84766668955485,20
United Kingdom,6.867000000000001,6.725,6.71400022506714,6.768666741689047,21
United Arab Emirates,6.901,6.5729999999999995,6.6479997634887695,6.707333254496256,22
Singapore,6.797999999999999,6.739,6.57200002670288,6.70300000890096,23
Chile,6.67,6.705,6.65199995040894,6.675666650136313,24
Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.646333380381267,25
Argentina,6.574,6.65,6.59899997711182,6.607666659037274,26
Czech Republic,6.505,6.596,6.60900020599365,6.570000068664549,27
France,6.575,6.478,6.44199991226196,6.49833330408732,28
Uruguay,6.485,6.545,6.4539999961853,6.4946666653951,29
Qatar,6.611000000000001,6.375,6.375,6.453666666666667,30
Thailand,6.455,6.474,6.4239997863769505,6.450999928792317,31
Malta,6.3020000000000005,6.4879999999999995,6.52699995040894,6.438999983469646,32
Colombia,6.477,6.481,6.35699987411499,6.438333291371663,33
Saudi Arabia,6.4110000000000005,6.379,6.343999862670901,6.377999954223633,34
Spain,6.329,6.361000000000001,6.40299987792969,6.364333292643231,35
Guatemala,6.122999999999999,6.324,6.4539999961853,6.300333332061766,36
Kuwait,6.295,6.239,6.10500001907349,6.21300000635783,37
Trinidad and Tobago,6.167999999999999,6.167999999999999,6.1680002212524405,6.168000073750814,38
Bahrain,5.96,6.218,6.08699989318848,6.088333297729494,39
El Salvador,6.13,6.068,6.002999782562259,6.066999927520754,40
Slovakia,5.995,6.077999999999999,6.09800004959106,6.0570000165303535,41
Venezuela,6.81,6.084,5.25,6.047999999999999,42
Uzbekistan,6.002999999999999,5.987,5.97100019454956,5.987000064849853,43
Ecuador,5.975,5.976,6.00799989700317,5.986333299001057,44
Nicaragua,5.827999999999999,5.992000000000001,6.07100009918213,5.963666699727376,45
Italy,5.9479999999999995,5.977,5.96400022506714,5.9630000750223795,46
Malaysia,5.77,6.005,6.08400011062622,5.953000036875406,47
Algeria,5.605,6.355,5.872000217437741,5.944000072479247,48
Japan,5.987,5.921,5.92000007629395,5.942666692097983,49
South Korea,5.984,5.835,5.837999820709231,5.885666606903077,50
Moldova,5.888999999999999,5.897,5.837999820709231,5.874666606903077,51
Poland,5.791,5.835,5.97300004959106,5.866333349863687,52
Kazakhstan,5.855,5.919,5.8189997673034695,5.864333255767824,53
Lithuania,5.832999999999999,5.813,5.90199995040894,5.84933331680298,54
Bolivia,5.89,5.822,5.82299995422363,5.84499998474121,55
Russia,5.716,5.856,5.962999820709231,5.84499994023641,56
Slovenia,5.848,5.768,5.75799989700317,5.791333299001057,57
Peru,5.824,5.742999999999999,5.71500015258789,5.760666717529297,58
North Cyprus,5.695,5.771,5.80999994277954,5.758666647593181,59
Belarus,5.813,5.8020000000000005,5.5689997673034695,5.727999922434489,60
Turkmenistan,5.547999999999999,5.6579999999999995,5.82200002670288,5.67600000890096,61
Paraguay,5.877999999999999,5.537999999999999,5.493000030517581,5.63633334350586,62
Libya,5.754,5.615,5.525000095367429,5.631333365122476,63
Cyprus,5.689,5.546,5.62099981307983,5.618666604359944,64
Mauritius,5.477,5.648,5.62900018692017,5.58466672897339,65
Estonia,5.428999999999999,5.517,5.61100006103516,5.519000020345054,66
