Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Afghanistan,AFG,48.829217457751,48.5064597394804,48.5853990645518,48.6247691399459,48.618923616166,48.5802452666562,48.5264953078143,48.480010437749,48.4545578446889,48.4521985165813,48.466509352089,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Albania,ALB,48.7837396372094,49.4668902438048,49.8717695997753,49.825319833213,49.7665096168926,49.6926914082018,49.6165088257099,49.5534748299767,49.5145986425182,49.5048432413665,49.5204211352564,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Algeria,DZA,49.3784416237666,49.3223293214135,49.5144966130297,49.524942672751,49.5280158539633,49.5247904299882,49.5177373813632,49.5101028268894,49.5041411878566,49.5003786504627,49.4982422735888,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Angola,AGO,51.1064223558812,51.1368979876492,51.0893946799183,51.0759924077599,51.0602793203612,51.0428192753542,51.0247076525111,51.0071534770467,50.9910100765981,50.9763712984984,50.9630362556504,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Antigua and Barbuda,ATG,51.6462262736514,52.8748833536717,52.049246027081,52.0706996006508,52.0744308505637,52.0647321428571,52.0454684848609,52.0354394020612,52.0244981286152,52.0081216263061,51.9992941937634,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Argentina,ARG,50.9705713833788,51.0723956701717,51.0877988453215,51.0871158584117,51.0850871871522,51.081929641566,51.0778570123747,51.0731079480456,51.0679223370416,51.0623359225387,51.0563430230094,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Armenia,ARM,51.5337787441315,53.0582738873029,53.182629840344,53.2079985875687,53.1978525420558,53.159407436092,53.1042877276557,53.049461533856,53.0071598636249,52.9799642165647,52.9648288191633,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Aruba,ABW,50.6709357703694,51.7454273325556,52.3514278110183,52.3287267004377,52.3296261819607,52.3522645298395,52.3901815045594,52.4277924430143,52.4655210419881,52.49148515985,52.5176712016417,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Australia,AUS,50.1352233938114,50.1122242536037,49.9938428769354,49.9937545380187,50.0135699611905,50.048961845866,50.0918739808368,50.1314608469469,50.1603097806992,50.1764580754149,50.1827708724369,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Austria,AUT,52.1660667580361,51.4652367820855,51.2986924545348,51.2643423946292,51.2246598909036,51.1802738743046,51.1336432112385,51.0878271476723,51.0448556419347,51.0053793938431,50.968861510311,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Azerbaijan,AZE,51.1036664435476,51.1069721152079,50.5054674750561,50.4554958142655,50.4053566932262,50.3566032640548,50.3109493355081,50.2704609768709,50.2364649252706,50.2093080597998,50.1881336115976,..
