Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Afghanistan,AFG,59.7271775774433,54.1241471776361,48.6940606863798,48.1059112407065,47.3905193745551,46.6062104381043,45.8139189683324,45.09774634744,44.4991988802608,44.0233866251394,43.6199588801902,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Albania,ALB,20.6536465250388,26.0073166324257,26.8204860693124,26.8964718440507,26.9245711988074,26.9370625997913,26.9777768076807,27.0449580674785,27.1560704332358,27.2514695756041,27.3479864857341,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Algeria,DZA,13.3151102778389,11.4561638607612,10.1313782341349,9.96981944466991,9.80437820214252,9.63717369057608,9.47340296354135,9.31867532520491,9.17698060547618,9.0487198759031,8.93289905177426,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Angola,AGO,32.6003326727067,34.3521600978097,37.3937830061824,37.9396895002479,38.5020601318793,39.0894938309013,39.6996468436876,40.2034987107015,39.733870646085,39.3076534873067,38.9158727166066,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Argentina,ARG,39.1559835889718,37.8518015239806,37.9923538007626,38.0381945274222,37.8973270977945,37.6680812858114,37.442087611757,37.2232424725627,37.0150182646951,36.8183734179176,36.6315751222782,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Armenia,ARM,49.2366690617263,55.9855011133613,58.2908086821118,58.3771692909805,58.2706203438797,58.2861598209519,58.2858590456848,58.242075179345,58.2159249368804,58.2256567907765,58.2575078331086,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Australia,AUS,24.9117460068356,23.4276317706044,22.213171521988,22.1970487158768,22.2181733455639,22.1884607400231,22.1642642664493,22.1899718548876,22.2319616679941,22.2670007048615,22.2802799256673,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Austria,AUT,31.8393520527831,32.1149609328682,35.5416598530673,36.0513570433141,36.5339303847556,36.776020360823,36.8679209813428,36.889441147414,36.7869427725879,36.6996193690096,36.7056274552409,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Azerbaijan,AZE,45.0494049857441,43.6663624973222,42.0786843730425,42.6392037153114,42.7764225841161,42.5181683529164,42.263412024217,42.0192704783279,41.7900044322043,41.5829770494441,41.3870121894469,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Bahrain,BHR,28.7968356081022,24.1271987101014,25.7414829372946,26.565293055447,27.9811177135216,29.8496922707671,32.0062984309547,34.1756875827367,36.1144760130949,37.7116371383453,39.0600491595401,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Bangladesh,BGD,31.4716305988411,33.1344781888797,31.8038607437922,31.7826991002933,31.7606052361144,31.7460227616224,31.747221280414,31.7685294377341,31.8185347383952,31.8957364060667,31.9987395185475,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Belarus,BLR,24.0605556848006,24.350106894812,25.9908800545937,26.104714562607,26.2352743465284,26.346282608905,26.4322240622654,26.5031094973265,26.5589149148553,26.6280082385303,26.715658329792,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Belgium,BEL,17.6497182410513,17.9045724603862,18.1394404718828,18.1053717091607,17.9862462564015,17.9867452935698,18.0297039979187,18.119255451112,18.1467116736501,18.1877074862457,18.2556368866892,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Benin,BEN,29.3359171591429,24.4084842843166,17.7016774421213,17.0383354981047,16.4018327218363,15.7916669772504,15.2072226263701,15.2510408738864,15.6832615270902,16.1296657186259,16.5910924171668,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Bolivia,BOL,28.4503719333053,27.4632457254731,25.081578304923,24.8313776581923,24.5904064384192,24.3591696692553,24.1551511708417,23.9706050952578,23.7929326551371,23.6215866357959,23.4571995737739,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Bosnia and Herzegovina,BIH,19.354464911074,21.3817139070243,20.176033257282,20.1705247427769,20.2142312262575,20.3015606681254,20.4075827857811,20.4934398601461,20.525725426389,20.4916938988858,20.3993522408025,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Brazil,BRA,13.3834168629962,11.9548468334255,11.8300795763006,11.845531816641,11.8357491240988,11.8264494434919,11.8203253589569,11.8184286047581,11.8214597260063,11.8298043264192,11.8424829083151,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Bulgaria,BGR,20.5763703401747,20.0432142091361,22.506530875478,22.7407004009227,22.974840370663,23.1974396564401,23.3698078619313,23.4983045775935,23.64417145108,23.8066575198861,23.9769610407505,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Burkina Faso,BFA,44.1522817118014,44.4551085997776,45.6010916596381,45.3180552820436,45.048133056367,44.7963830577027,44.5556894428166,44.3343726849198,44.1322100221527,43.9496514192658,43.7911677772835,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Burundi,BDI,69.0336600893401,62.4914267092584,59.4825061136075,59.6291226900556,59.8439467571135,60.1236714568348,60.420958855767,60.7105421523844,60.9570992996003,61.1580022826847,61.3315164831344,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Cambodia,KHM,44.08614791727,50.8582388405043,52.5668956882363,52.4395140738945,52.2906240855829,52.1246319495311,51.9557776873584,51.7955288265122,51.6579616985274,51.5451509752327,51.457231918674,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Cameroon,CMR,20.2434014994714,21.4235461010852,22.7730368765551,22.9310330761996,23.1888890113736,23.5807346055893,23.9872195793414,24.4094926355426,24.8485531739902,25.3053502104224,25.7815798772954,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Canada,CAN,17.8873945021788,18.8391545630772,19.8951010725811,19.9806095655286,20.0807263866755,20.0745933312172,20.0739585318765,20.087180325323,20.1506452796775,20.1408242946312,20.1253993952051,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Central African Republic,CAF,43.1264744950461,40.9335622946795,41.1718176499686,41.4204687938779,41.8086681714545,42.3067420145475,42.8345539887163,43.2872491069969,43.5797716371032,43.6854150290182,43.6245705866733,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Chad,TCD,38.4681716762847,38.2153911269257,37.866866744272,37.9027940985712,37.8951042732495,37.8508451850243,37.782810927319,37.7050190150391,37.6245593600191,37.5431401020869,37.4570040116377,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Chile,CHL,41.8606990061356,43.0715964165635,42.4717210776268,42.3695188545248,42.28065946196,42.2054341469504,42.1404836374021,42.0851310503341,42.037526974422,41.9947863791841,41.9569412157953,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,China,CHN,2.86702123225852,3.14493771000412,3.07750654397915,3.08494308970222,3.08541320712315,3.08292956942535,3.08216345267715,3.08295267003665,3.08559064453815,3.08913952160744,3.09401212991961,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Colombia,COL,19.9076222441363,21.1815750552473,23.2171664076779,23.5134150298111,23.8255339102414,24.1545590479667,24.4980007124798,24.858593095959,25.2351534365028,25.6289698078123,26.0379351339232,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,"Congo, Dem. Rep.",COD,34.7364474981574,37.1377539445738,36.4849341336219,36.3381538389197,36.1874274008691,36.0371591013593,35.8899676538924,35.7474435384632,35.6124519002464,35.4860918734108,35.3702471089659,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,"Congo, Rep.",COG,53.0648219805484,53.9594050725174,56.49756619453,56.8002488065108,57.2480541022019,57.8138311701634,58.4588510113222,59.1301733937766,59.7903428460085,60.4320366008265,61.0677121320549,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Costa Rica,CRI,47.8439238028797,44.521501449708,37.3702800108095,36.8618433037826,36.4044634789589,36.005569604511,35.6578880616621,35.358114560124,35.1000470583651,34.8810398426612,34.6976314306383,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Cote d'Ivoire,CIV,43.5500050965992,41.764511875641,41.1339040898514,40.9445989260508,40.7230810245226,40.4746122926381,40.2069871998456,39.939743827962,39.6741904012803,39.41526398038,39.160530307095,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Croatia,HRV,28.8029565878235,29.2988227373777,28.2820149485694,28.2534011155585,29.0556330195268,29.0329376114248,28.9944125594662,28.9847753428564,29.0888417620759,29.148831705641,29.3399660380425,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Cuba,CUB,27.1578262105011,26.0258964416175,24.8342705919742,24.6875135716538,24.5262505845356,24.3534341206633,24.1913603522778,24.1046597758896,24.0962749491313,24.1032962325421,24.118536811376,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Czech Republic,CZE,15.5938374449198,15.4470712154017,16.0156188788798,16.0761806061205,16.150868794654,16.2187065343711,16.2859415695226,16.3416093976104,16.3827564277278,16.4248969274408,16.4569545377595,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Denmark,DNK,23.7357817213228,23.7043996132934,24.6313244322013,24.7628143982558,24.9165669213184,25.0939948380826,25.2704235087789,25.4336087392542,25.5475045356089,25.6434328663546,25.7537923906691,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Djibouti,DJI,70.722423285591,73.487429463146,73.9421461163104,73.992102219496,74.0119521792947,74.0066614881247,73.9928369244989,73.9957177091162,74.0274048157599,74.097830193328,74.1990095279108,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Dominican Republic,DOM,38.3750571240819,37.7616177693187,35.8043147866126,35.6267707899975,35.5347093032709,35.5079696349083,35.5084762087253,35.5390023457667,35.597730489046,35.6861364037766,35.8013833176972,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Ecuador,ECU,27.9192438782011,27.280336739061,26.6971866330215,26.6199073607776,26.6026558637124,26.6298235713648,26.6630704632002,26.7045131498853,26.7524073281964,26.8085220020693,26.8707451180897,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,"Egypt, Arab Rep.",EGY,39.6293110524639,45.5435427349179,46.5990916688242,46.7052616488676,46.7481126991965,46.7824049147279,46.7970672282428,46.83039852068,46.9059547430051,47.0283203684098,47.1634123156721,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,El Salvador,SLV,37.4470183726284,30.7113126371236,27.3520826861752,26.9259661585215,26.5128803824489,26.1124212265982,25.724050085838,25.3465356604762,24.9796751986512,24.6273047815694,24.2893078578869,..
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Equatorial Guinea,GNQ,25.950049896162,38.1254911583213,36.942432394554,36.6497756546197,36.4260103185272,36.2739995171839,36.6748487421717,37.1353599466353,37.6595306338575,38.2534432598649,38.9188855907197,..
