Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Afghanistan,AFG,51.170782542249,51.4935402605196,51.4146009354482,51.3752308600541,51.381076383834,51.4197547333438,51.4735046921857,51.519989562251,51.5454421553111,51.5478014834187,51.533490647911,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Albania,ALB,51.2162603627906,50.5331097561952,50.1282304002247,50.174680166787,50.2334903831074,50.3073085917982,50.3834911742901,50.4465251700233,50.4854013574818,50.4951567586335,50.4795788647436,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Algeria,DZA,50.6215583762334,50.6776706785865,50.4855033869703,50.475057327249,50.4719841460367,50.4752095700118,50.4822626186368,50.4898971731106,50.4958588121434,50.4996213495373,50.5017577264112,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Angola,AGO,48.8935776441188,48.8631020123508,48.9106053200817,48.9240075922401,48.9397206796388,48.9571807246458,48.9752923474889,48.9928465229533,49.0089899234019,49.0236287015016,49.0369637443496,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Antigua and Barbuda,ATG,48.3537737263486,47.1251166463283,47.950753972919,47.9293003993492,47.9255691494363,47.9352678571429,47.9545315151391,47.9645605979388,47.9755018713848,47.9918783736939,48.0007058062366,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Argentina,ARG,49.0294286166212,48.9276043298283,48.9122011546785,48.9128841415883,48.9149128128478,48.918070358434,48.9221429876253,48.9268920519544,48.9320776629584,48.9376640774613,48.9436569769906,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Armenia,ARM,48.4662212558685,46.9417261126971,46.817370159656,46.7920014124313,46.8021474579442,46.840592563908,46.8957122723443,46.950538466144,46.9928401363751,47.0200357834353,47.0351711808367,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Aruba,ABW,49.3290642296306,48.2545726674444,47.6485721889817,47.6712732995623,47.6703738180393,47.6477354701605,47.6098184954406,47.5722075569857,47.5344789580119,47.50851484015,47.4823287983583,..
